True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,77,1.85,0.016,0.236,0.004,0.209,0.891,0.796,0.003,0.019,642
,78,1.845,0.017,0.222,0.004,0.213,0.885,0.828,0.003,0.017,649
,79,1.855,0.018,0.227,0.002,0.216,0.881,0.803,0.003,0.016,783
,80,1.887,0.012,0.179,0.001,0.21,0.865,0.845,0.003,0.019,595
,81,1.867,0.014,0.194,0.002,0.21,0.884,0.839,0.002,0.015,727
,82,1.929,0.007,0.119,0.004,0.19,0.829,0.916,0.004,0.011,330
,83,1.955,0.005,0.08,0.006,0.134,0.866,0.943,0.002,0.011,243
,84,1.9,0.009,0.135,0.01,0.17,0.887,0.898,0.002,0.015,522
,85,1.946,0.005,0.085,0.012,0.126,0.872,0.945,0.001,0.017,437
,86,1.947,0.005,0.081,0.005,0.136,0.868,0.956,0.001,0.013,384
,87,1.801,0.069,0.253,0.001,0.222,0.909,0.721,0.004,0.044,369
,88,1.786,0.07,0.277,0.001,0.23,0.915,0.696,0.005,0.048,386
,89,1.761,0.072,0.315,0.004,0.232,0.895,0.7,0.004,0.044,416
,90,1.791,0.062,0.277,0.002,0.235,0.905,0.707,0.004,0.046,385
,91,1.75,0.063,0.326,0.001,0.218,0.902,0.738,0.003,0.047,357
,92,1.758,0.077,0.308,0,0.228,0.912,0.697,0.004,0.05,252
,93,1.763,0.078,0.298,0.001,0.224,0.92,0.703,0.003,0.04,296
,94,1.74,0.085,0.325,0.002,0.206,0.94,0.695,0.002,0.035,269
,95,1.779,0.07,0.294,0.002,0.213,0.906,0.712,0.003,0.044,361
,96,1.803,0.069,0.25,0.001,0.196,0.923,0.736,0.004,0.044,359
,97,1.805,0.065,0.245,0.008,0.185,0.913,0.763,0.003,0.034,340
,98,1.805,0.066,0.248,0.003,0.215,0.883,0.757,0.003,0.043,235
,99,1.803,0.071,0.242,0.001,0.208,0.909,0.747,0.003,0.04,202
,100,1.804,0.069,0.249,0.001,0.209,0.903,0.744,0.003,0.041,258
,101,1.753,0.093,0.292,0.001,0.202,0.937,0.708,0.004,0.035,245
,102,1.761,0.09,0.274,0,0.196,0.943,0.732,0.003,0.031,243
,103,1.903,0.008,0.135,0.005,0.222,0.814,0.919,0.005,0.014,169
,104,1.934,0.007,0.094,0.001,0.265,0.755,0.94,0.008,0.015,167
,105,1.922,0.011,0.097,0.001,0.258,0.843,0.867,0.011,0.017,721
,106,1.918,0.012,0.116,0,0.275,0.828,0.843,0.011,0.019,423
,107,1.953,0.01,0.105,0.001,0.268,0.795,0.836,0.008,0.017,216
,108,1.921,0.009,0.104,0.001,0.25,0.833,0.881,0.01,0.02,193
,109,1.924,0.012,0.107,0.001,0.26,0.845,0.837,0.013,0.019,250
,110,1.902,0.011,0.126,0.001,0.273,0.806,0.888,0.008,0.015,342
,111,1.958,0.009,0.078,0.001,0.264,0.825,0.84,0.013,0.014,464
,112,1.936,0.012,0.086,0.01,0.251,0.821,0.87,0.005,0.025,89
,113,1.931,0.013,0.09,0.014,0.263,0.819,0.856,0.005,0.028,70
,114,1.928,0.012,0.092,0.01,0.255,0.816,0.877,0.006,0.025,93
,115,1.935,0.01,0.083,0.008,0.215,0.841,0.901,0.004,0.023,44
,116,1.949,0.005,0.068,0.019,0.157,0.867,0.92,0.003,0.024,214
,117,1.928,0.011,0.117,0.003,0.257,0.814,0.848,0.006,0.031,288
,118,1.949,0.007,0.075,0.008,0.182,0.862,0.902,0.004,0.025,78
,119,1.935,0.008,0.094,0.009,0.199,0.848,0.891,0.005,0.027,84
,120,1.944,0.013,0.098,0.01,0.262,0.829,0.815,0.006,0.022,85
,121,1.933,0.014,0.113,0.001,0.218,0.878,0.827,0.003,0.019,57
,122,1.935,0.016,0.119,0.003,0.261,0.836,0.799,0.006,0.025,116
,123,1.939,0.019,0.108,0,0.266,0.833,0.804,0.006,0.022,259
,124,1.938,0.021,0.087,0.002,0.249,0.816,0.863,0.006,0.028,258
,125,1.942,0.016,0.114,0.004,0.235,0.884,0.774,0.004,0.019,183
,126,1.933,0.016,0.122,0,0.256,0.839,0.807,0.006,0.019,190
,127,1.938,0.011,0.115,0.005,0.249,0.831,0.827,0.005,0.02,141
,128,1.95,0.011,0.08,0.002,0.275,0.793,0.869,0.007,0.02,88
,129,1.942,0.009,0.098,0.004,0.224,0.848,0.856,0.004,0.024,228
,130,1.904,0.023,0.147,0.006,0.249,0.864,0.79,0.004,0.019,134
,131,1.972,0.012,0.077,0.002,0.244,0.833,0.826,0.005,0.012,251
,132,1.918,0.015,0.126,0.002,0.228,0.915,0.784,0.003,0.018,248
,133,1.947,0.011,0.106,0,0.268,0.824,0.819,0.006,0.019,174
,134,1.933,0.017,0.121,0.009,0.23,0.799,0.857,0.005,0.029,159
,135,1.95,0.01,0.109,0.021,0.183,0.798,0.89,0.005,0.018,203
,136,1.983,0.01,0.08,0.014,0.196,0.779,0.88,0.003,0.025,166
,137,1.964,0.014,0.084,0.001,0.26,0.802,0.831,0.007,0.029,305
,138,1.99,0.004,0.074,0.012,0.149,0.865,0.848,0.005,0.028,180
,139,1.942,0.015,0.121,0.014,0.219,0.806,0.842,0.004,0.025,202
,140,1.933,0.015,0.115,0.01,0.223,0.818,0.858,0.006,0.024,162
,141,1.926,0.013,0.139,0.012,0.23,0.816,0.825,0.006,0.032,175
,142,1.93,0.015,0.133,0.014,0.203,0.803,0.867,0.003,0.026,199
,143,1.977,0.008,0.068,0.014,0.184,0.811,0.894,0.006,0.023,226
,144,1.954,0.013,0.107,0.009,0.227,0.808,0.839,0.005,0.026,214
,145,1.943,0.014,0.107,0.009,0.23,0.828,0.833,0.006,0.031,229
,146,1.952,0.013,0.111,0.008,0.227,0.797,0.845,0.005,0.029,243
,147,1.953,0.011,0.126,0.016,0.205,0.827,0.806,0.006,0.027,211
,148,1.938,0.015,0.119,0.015,0.229,0.814,0.83,0.006,0.03,183
,149,1.956,0.007,0.115,0.01,0.206,0.843,0.816,0.004,0.035,153
,150,1.954,0.008,0.105,0.022,0.176,0.834,0.861,0.004,0.021,182
,151,1.94,0.015,0.113,0.01,0.221,0.823,0.845,0.004,0.025,165
,152,1.942,0.016,0.115,0.007,0.235,0.794,0.853,0.007,0.022,171
,153,1.906,0.02,0.144,0.009,0.236,0.826,0.837,0.006,0.026,165
,154,1.934,0.013,0.102,0.005,0.25,0.867,0.804,0.007,0.033,130
,155,1.941,0.015,0.092,0.004,0.273,0.799,0.849,0.007,0.027,227
,156,1.941,0.013,0.102,0.007,0.243,0.85,0.813,0.006,0.027,90
,157,1.931,0.013,0.107,0.006,0.253,0.846,0.821,0.007,0.027,96
,158,1.927,0.017,0.11,0.001,0.272,0.829,0.82,0.008,0.031,120
,159,1.938,0.015,0.099,0,0.263,0.848,0.809,0.008,0.026,196
,160,1.94,0.007,0.101,0.007,0.241,0.83,0.848,0.007,0.027,135
,161,1.946,0.01,0.096,0.006,0.267,0.812,0.836,0.006,0.028,107
,162,1.934,0.016,0.101,0.001,0.261,0.862,0.8,0.003,0.032,106
,163,1.951,0.014,0.082,0.001,0.269,0.827,0.83,0.008,0.027,150
,164,1.947,0.013,0.081,0.005,0.23,0.854,0.839,0.004,0.045,122
,165,1.931,0.014,0.101,0.006,0.26,0.852,0.812,0.007,0.03,187
,166,1.93,0.013,0.102,0.009,0.237,0.838,0.85,0.006,0.035,138
,167,1.953,0.013,0.08,0,0.267,0.846,0.811,0.006,0.031,90
,168,1.938,0.014,0.107,0.006,0.239,0.854,0.815,0.006,0.029,138
,169,1.936,0.015,0.104,0.001,0.266,0.84,0.811,0.009,0.027,224
,170,1.956,0.005,0.067,0.009,0.309,0.655,0.98,0.008,0.021,171
,171,1.947,0.011,0.086,0.007,0.246,0.844,0.835,0.006,0.028,128
,172,1.931,0.015,0.101,0.005,0.231,0.861,0.834,0.006,0.03,152
,173,1.962,0.004,0.074,0.004,0.248,0.85,0.831,0.007,0.027,206
,174,1.957,0.011,0.093,0.01,0.212,0.837,0.834,0.009,0.033,150
,175,1.945,0.012,0.088,0.005,0.257,0.834,0.839,0.005,0.024,282
,176,1.926,0.014,0.121,0.005,0.236,0.835,0.834,0.006,0.033,191
,177,1.94,0.012,0.108,0.006,0.221,0.866,0.814,0.005,0.031,263
,178,1.943,0.01,0.102,0.009,0.225,0.858,0.821,0.007,0.032,111
,179,1.955,0.011,0.076,0,0.258,0.841,0.833,0.007,0.025,117
,180,1.934,0.01,0.106,0.007,0.244,0.839,0.837,0.008,0.031,166
,181,1.936,0.012,0.101,0.007,0.265,0.772,0.886,0.005,0.028,238
,182,1.937,0.014,0.106,0.002,0.244,0.815,0.853,0.007,0.028,144
,183,1.961,0.011,0.097,0.011,0.243,0.844,0.789,0.006,0.027,95
,184,1.964,0.01,0.098,0.008,0.282,0.74,0.851,0.008,0.023,161
,185,1.961,0.006,0.084,0.012,0.235,0.811,0.86,0.005,0.024,108
,186,1.972,0.01,0.082,0.005,0.246,0.829,0.816,0.006,0.018,136
,187,1.961,0.011,0.095,0.012,0.262,0.811,0.804,0.005,0.027,187
